cycle,environment_temperature,nominal_capacity
1,1,0.9697339679865171
1,2,0.9964176723947797
1,3,1.0231013768030424
1,4,1.049785081211305
1,5,1.0764687856195676
1,6,1.1031524900278302
1,7,1.1298361944360928
1,8,1.1565198988443555
1,9,1.183203603252618
1,10,1.2098873076608807
1,11,1.2365710120691433
1,12,1.263254716477406
1,13,1.2899384208856686
1,14,1.3166221252939312
1,15,1.3433058297021938
1,16,1.3699895341104564
1,17,1.396673238518719
1,18,1.4233569429269817
1,19,1.450040647335244
1,20,1.4767243517435067
1,21,1.5034080561517693
1,22,1.530091760560032
1,23,1.5567754649682946
1,24,1.5834591693765572
1,25,1.6101428737848198
1,26,1.6368265781930824
1,27,1.663510282601345
1,28,1.6901939870096077
1,29,1.7168776914178703
1,30,1.743561395826133
1,31,1.7702451002343955
1,32,1.7969288046426581
1,33,1.8236125090509208
1,34,1.8502962134591834
1,35,1.876979917867446
1,36,1.9036636222757086
1,37,1.9303473266839712
1,38,1.9570310310922339
1,39,1.9837147355004965
1,40,2.010398439908759
1,41,2.0370821443170217
1,42,2.0637658487252843
1,43,2.090449553133547
1,44,2.1171332575418096
1,45,2.143816961950072
1,46,2.170500666358335
1,47,2.1971843707665974
1,48,2.22386807517486
1,49,2.2505517795831227
1,50,2.2505517795831227
2,1,0.9677471437247737
2,2,0.9944308481330363
2,3,1.0211145525412988
2,4,1.0477982569495614
2,5,1.074481961357824
2,6,1.1011656657660867
2,7,1.1278493701743493
2,8,1.154533074582612
2,9,1.1812167789908745
2,10,1.2079004833991371
2,11,1.2345841878073998
2,12,1.2612678922156624
2,13,1.287951596623925
2,14,1.3146353010321876
2,15,1.3413190054404502
2,16,1.3680027098487129
2,17,1.3946864142569755
2,18,1.421370118665238
2,19,1.4480538230735007
2,20,1.4747375274817633
2,21,1.501421231890026
2,22,1.5281049362982886
2,23,1.5547886407065512
2,24,1.5814723451148138
2,25,1.6081560495230764
2,26,1.634839753931339
2,27,1.6615234583396017
2,28,1.6882071627478643
2,29,1.714890867156127
2,30,1.7415745715643896
2,31,1.7682582759726522
2,32,1.7949419803809148
2,33,1.8216256847891774
2,34,1.84830938919744
2,35,1.8749930936057027
2,36,1.9016767980139653
2,37,1.928360502422228
2,38,1.9550442068304905
2,39,1.9817279112387531
2,40,2.0084116156470158
2,41,2.0350953200552784
2,42,2.061779024463541
2,43,2.0884627288718036
2,44,2.1151464332800662
2,45,2.141830137688329
2,46,2.1685138420965915
2,47,2.195197546504854
2,48,2.2218812509131167
2,49,2.2485649553213793
2,50,2.2485649553213793
3,1,0.9657603194630303
3,2,0.9924440238712929
3,3,1.0191277282795554
3,4,1.045811432687818
3,5,1.0724951370960807
3,6,1.0991788415043433
3,7,1.125862545912606
3,8,1.1525462503208685
3,9,1.1792299547291312
3,10,1.2059136591373938
3,11,1.2325973635456564
3,12,1.259281067953919
3,13,1.2859647723621817
3,14,1.3126484767704443
3,15,1.339332181178707
3,16,1.3660158855869695
3,17,1.3926995899952321
3,18,1.4193832944034948
3,19,1.4460669988117574
3,20,1.47275070322002
3,21,1.4994344076282826
3,22,1.5261181120365452
3,23,1.5528018164448079
3,24,1.5794855208530705
3,25,1.606169225261333
3,26,1.6328529296695957
3,27,1.6595366340778583
3,28,1.686220338486121
3,29,1.7129040428943836
3,30,1.7395877473026462
3,31,1.7662714517109088
3,32,1.7929551561191714
3,33,1.819638860527434
3,34,1.8463225649356967
3,35,1.8730062693439593
3,36,1.899689973752222
3,37,1.9263736781604845
3,38,1.9530573825687472
3,39,1.9797410869770098
3,40,2.0064247913852724
3,41,2.033108495793535
3,42,2.0597922002017977
3,43,2.0864759046100603
3,44,2.113159609018323
3,45,2.1398433134265855
3,46,2.166527017834848
3,47,2.1932107222431108
